,AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population 18 to 24 years,,,,,Population 25 years and over,,,,,,,,,,,White alone,,,"White alone, not Hispanic or Latino",,,Black alone,,,American Indian or Alaska Native alone,,,Asian alone,,,Native Hawaiian and Other Pacific Islander alone,,,Some other race alone,,,Two or more races,,,Hispanic or Latino Origin,,
Label,,,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),12.3%,34.7%,45.3%,7.6%,(X),3.9%,9.0%,30.9%,20.8%,9.0%,16.3%,10.0%,87.1%,26.3%,,(X),88.5%,28.5%,(X),89.1%,28.8%,(X),85.1%,19.2%,(X),78.9%,18.7%,(X),87.6%,55.9%,(X),N,N,(X),51.7%,10.8%,(X),86.2%,32.8%,(X),61.3%,16.4%
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"282,336","33,273","97,402","126,196","25,465","2,036,456","94,376","160,617","710,306","444,052","151,738","307,185","168,182","1,781,463","475,367",,"1,625,302","1,439,171","395,246","1,550,578","1,393,472","386,668","292,048","253,776","49,683","12,779","10,649","1,953","29,658","26,866","16,513","4,386","1,944",519,"38,425","20,033","2,873","33,858","29,024","8,580","117,900","69,198","11,606"
,,"±4,046","±3,285","±5,419","±5,900","±2,793","±4,918","±4,761","±8,388","±10,528","±10,590","±6,906","±9,490","±6,941","±9,687","±12,017",,"±5,177","±8,194","±10,485","±2,181","±6,934","±10,345","±4,487","±5,729","±4,633","±1,730","±1,863",±867,"±2,187","±2,063","±1,711","±1,249","±1,075",±411,"±4,274","±2,716","±1,015","±3,205","±3,133","±1,974","±2,649","±3,996","±2,237"
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),11.8%,34.5%,44.7%,9.0%,(X),4.6%,7.9%,34.9%,21.8%,7.5%,15.1%,8.3%,87.5%,23.3%,,(X),88.5%,24.3%,(X),89.9%,24.9%,(X),86.9%,17.0%,(X),83.3%,15.3%,(X),90.6%,55.7%,(X),44.3%,11.8%,(X),52.1%,7.5%,(X),85.7%,25.3%,(X),58.7%,9.8%
,,(X),±1.2,±1.8,±2.0,±1.0,(X),±0.2,±0.4,±0.5,±0.5,±0.3,±0.5,±0.3,±0.4,±0.6,,(X),±0.4,±0.6,(X),±0.4,±0.7,(X),±1.4,±1.6,(X),±7.0,±5.8,(X),±2.9,±5.0,(X),±14.8,±8.1,(X),±5.2,±2.7,(X),±3.3,±5.0,(X),±3.1,±1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"143,823","18,968","54,261","60,260","10,334","975,517","49,841","81,100","362,841","209,719","56,732","138,501","76,783","844,576","215,284",,"785,367","687,954","182,226","747,665","665,388","178,275","131,695","113,636","18,104","5,286","4,670",700,"13,682","12,567","8,536","2,330",991,407,"21,126","10,717","1,189","16,031","14,041","4,122","61,544","35,416","5,261"
,,"±2,814","±2,941","±3,685","±4,794","±2,135","±4,168","±3,536","±5,315","±7,567","±6,941","±3,545","±5,536","±4,330","±5,821","±6,959",,"±3,639","±5,624","±6,011","±1,553","±4,677","±5,940","±3,317","±3,563","±2,745","±1,017","±1,027",±488,"±1,459","±1,420","±1,158",±505,±559,±378,"±3,084","±2,156",±596,"±1,949","±2,038","±1,235","±2,599","±2,473","±1,301"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(X),13.2%,37.7%,41.9%,7.2%,(X),5.1%,8.3%,37.2%,21.5%,5.8%,14.2%,7.9%,86.6%,22.1%,,(X),87.6%,23.2%,(X),89.0%,23.8%,(X),86.3%,13.7%,(X),88.3%,13.2%,(X),91.9%,62.4%,(X),42.5%,17.5%,(X),50.7%,5.6%,(X),87.6%,25.7%,(X),57.5%,8.5%
,,(X),±2.0,±2.5,±3.1,±1.5,(X),±0.4,±0.5,±0.8,±0.7,±0.4,±0.6,±0.4,±0.5,±0.7,,(X),±0.6,±0.7,(X),±0.6,±0.8,(X),±1.8,±2.1,(X),±6.5,±8.6,(X),±3.9,±6.8,(X),±16.0,±13.8,(X),±6.2,±2.7,(X),±4.8,±7.1,(X),±3.8,±2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"138,513","14,305","43,141","65,936","15,131","1,060,939","44,535","79,517","347,465","234,333","95,006","168,684","91,399","936,887","260,083",,"839,935","751,217","213,020","802,913","728,084","208,393","160,353","140,140","31,579","7,493","5,979","1,253","15,976","14,299","7,977","2,056",953,112,"17,299","9,316","1,684","17,827","14,983","4,458","56,356","33,782","6,345"
,,"±3,134","±2,112","±4,028","±4,063","±2,220","±4,304","±2,931","±4,872","±7,644","±7,555","±5,484","±6,389","±4,986","±6,595","±7,820",,"±2,909","±4,557","±6,585","±1,256","±3,664","±6,531","±3,245","±4,269","±3,373","±1,397","±1,461",±702,"±1,485","±1,404","±1,278",±993,±708,±158,"±2,199","±1,653",±800,"±2,327","±2,181","±1,257","±1,903","±2,658","±1,395"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(X),10.3%,31.1%,47.6%,10.9%,(X),4.2%,7.5%,32.8%,22.1%,9.0%,15.9%,8.6%,88.3%,24.5%,,(X),89.4%,25.4%,(X),90.7%,26.0%,(X),87.4%,19.7%,(X),79.8%,16.7%,(X),89.5%,49.9%,(X),46.4%,5.4%,(X),53.9%,9.7%,(X),84.0%,25.0%,(X),59.9%,11.3%
,,(X),±1.5,±2.7,±3.0,±1.6,(X),±0.3,±0.5,±0.7,±0.7,±0.5,±0.6,±0.5,±0.5,±0.7,,(X),±0.5,±0.8,(X),±0.4,±0.8,(X),±1.6,±2.1,(X),±11.0,±8.4,(X),±3.9,±6.7,(X),±18.7,±7.7,(X),±7.4,±4.5,(X),±4.3,±5.6,(X),±4.2,±2.4
California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,683,287","367,782","1,151,214","1,736,881","427,410","26,937,872","2,346,235","1,955,278","5,546,711","5,542,372","2,118,792","5,889,724","3,538,760","22,636,359","9,428,484",,"16,461,029","14,222,410","5,856,506","11,075,547","10,557,467","5,011,778","1,573,950","1,424,975","426,626","218,013","170,934","36,572","4,363,485","3,863,863","2,370,408","106,486","92,119","22,074","3,279,489","2,028,988","376,014","935,420","833,070","340,284","9,150,608","6,076,540","1,315,780"
,,"±5,168","±12,947","±19,344","±20,025","±9,170","±5,782","±24,043","±25,710","±46,643","±42,248","±25,012","±34,186","±28,959","±36,657","±40,711",,"±37,232","±32,981","±31,122","±5,155","±13,125","±26,163","±10,613","±12,518","±13,377","±9,897","±7,557","±3,297","±12,952","±18,275","±20,119","±3,616","±4,017","±2,601","±37,206","±28,676","±13,153","±19,650","±16,948","±10,607","±2,080","±33,347","±23,522"
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),10.0%,31.3%,47.2%,11.6%,(X),8.7%,7.3%,20.6%,20.6%,7.9%,21.9%,13.1%,84.0%,35.0%,,(X),86.4%,35.6%,(X),95.3%,45.3%,(X),90.5%,27.1%,(X),78.4%,16.8%,(X),88.5%,54.3%,(X),86.5%,20.7%,(X),61.9%,11.5%,(X),89.1%,36.4%,(X),66.4%,14.4%
,,(X),±0.4,±0.5,±0.5,±0.3,(X),±0.1,±0.1,±0.2,±0.2,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.2,±0.2,(X),±0.1,±0.2,(X),±0.4,±0.8,(X),±1.9,±1.5,(X),±0.3,±0.4,(X),±2.2,±2.4,(X),±0.6,±0.4,(X),±0.6,±0.9,(X),±0.4,±0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1,892,089","213,693","647,649","847,136","183,611","13,208,824","1,111,415","1,030,198","2,845,945","2,709,335","951,967","2,806,332","1,753,632","11,067,211","4,559,964",,"8,135,751","7,005,105","2,888,960","5,489,591","5,221,303","2,512,300","773,034","690,221","196,687","107,717","83,043","16,211","2,006,985","1,806,985","1,112,103","51,547","44,681","10,951","1,666,748","1,021,567","172,212","467,042","415,609","162,840","4,561,513","2,998,364","591,833"
,,"±3,835","±9,291","±14,302","±14,642","±6,806","±5,833","±15,406","±16,460","±29,466","±26,455","±16,774","±21,654","±17,753","±23,665","±24,960",,"±22,341","±23,499","±20,656","±3,131","±9,747","±19,670","±7,498","±8,083","±7,999","±5,953","±4,475","±2,024","±8,343","±10,853","±11,075","±2,890","±3,038","±1,883","±21,749","±17,802","±8,309","±11,445","±10,190","±5,931","±1,891","±20,244","±13,062"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(X),11.3%,34.2%,44.8%,9.7%,(X),8.4%,7.8%,21.5%,20.5%,7.2%,21.2%,13.3%,83.8%,34.5%,,(X),86.1%,35.5%,(X),95.1%,45.8%,(X),89.3%,25.4%,(X),77.1%,15.0%,(X),90.0%,55.4%,(X),86.7%,21.2%,(X),61.3%,10.3%,(X),89.0%,34.9%,(X),65.7%,13.0%
,,(X),±0.5,±0.8,±0.8,±0.4,(X),±0.1,±0.1,±0.2,±0.2,±0.1,±0.2,±0.1,±0.2,±0.2,,(X),±0.2,±0.3,(X),±0.2,±0.4,(X),±0.7,±1.0,(X),±2.8,±1.8,(X),±0.4,±0.5,(X),±3.0,±3.3,(X),±0.7,±0.5,(X),±0.8,±1.1,(X),±0.4,±0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
